Title,Release year,IMDB Rating,Votes,Genre,Certificate,Runtime,Director,Main Cast,Budget,Gross Revenue
Unforgiven,2020.0,8.2,459635,"Drama, Western",A,2H10M,Clint Eastwood,"Clint Eastwood, Gene Hackman, Morgan Freeman",14400000,159167799
El laberinto del fauno,2018.0,8.2,732058,"Drama, Fantasy, War",R,1H58M,Guillermo del Toro,"Ivana Baquero, Ariadna Gil, Sergi López",19000000,83863565
Kill Bill: Vol. 1,2003.0,8.2,1267814,"Action, Crime, Thriller",A,1H51M,Quentin Tarantino,"Uma Thurman, David Carradine, Daryl Hannah",30000000,180908413
A Beautiful Mind,2020.0,8.2,1033032,"Biography, Drama, Mystery",UA,2H15M,Ron Howard,"Russell Crowe, Ed Harris, Jennifer Connelly",58000000,316791257
Prisoners,2013.0,8.2,893889,"Crime, Drama, Mystery",A,2H33M,Denis Villeneuve,"Hugh Jackman, Jake Gyllenhaal, Viola Davis",46000000,122127446
The Treasure of the Sierra Madre,1948.0,8.2,138960,"Adventure, Drama, Western",Approved,2H6M,John Huston,"Humphrey Bogart, Walter Huston, Tim Holt",3000000,5014124
Finding Nemo,2003.0,8.2,1176546,"Animation, Adventure, Comedy",U,1H40M,Andrew Stanton,"Albert Brooks, Ellen DeGeneres, Alexander Gould",94000000,941637960
Hauru no ugoku shiro,2020.0,8.2,493637,"Animation, Adventure, Family",U,1H59M,Hayao Miyazaki,"Chieko Baishô, Takuya Kimura, Tatsuya Gashûin",24000000,241286155
Yôjinbô,1961.0,8.2,139860,"Action, Drama, Thriller",U,1H50M,Akira Kurosawa,"Toshirô Mifune, Eijirô Tôno, Tatsuya Nakadai",46808,0
La meglio gioventù,2003.0,8.4,26281,"Drama, Romance",R,6H14M,Marco Tullio Giordana,"Luigi Lo Cascio, Alessio Boni, Jasmine Trinca",274024,0
The Great Escape,1963.0,8.2,272002,"Adventure, Drama, Thriller",U,2H52M,John Sturges,"Steve McQueen, James Garner, Richard Attenborough",4000000,0
Monty Python and the Holy Grail,1979.0,8.2,593792,"Adventure, Comedy, Fantasy",U,1H31M,Terry Gilliam,"Graham Chapman, John Cleese, Eric Idle",0,2934737
The Elephant Man,1980.0,8.2,276331,"Biography, Drama",UA,2H4M,David Lynch,"Anthony Hopkins, John Hurt, Anne Bancroft",5000000,0
Klaus,2019.0,8.2,219656,"Animation, Adventure, Comedy",7,1H36M,Sergio Pablos,"Jason Schwartzman, J.K. Simmons, Rashida Jones",40000000,0
Dial M for Murder,2020.0,8.2,200460,"Crime, Drama, Mystery",A,1H45M,Alfred Hitchcock,"Ray Milland, Grace Kelly, Robert Cummings",1400000,45313
Gone with the Wind,2020.0,8.2,350238,"Drama, Romance, War",U,3H58M,Victor Fleming,"Clark Gable, Vivien Leigh, Thomas Mitchell",3977000,402382193
El secreto de sus ojos,2009.0,8.2,236480,"Drama, Mystery, Romance",R,2H9M,Juan José Campanella,"Ricardo Darín, Soledad Villamil, Pablo Rago",2000000,35079650
Chinatown,2013.0,8.1,369560,"Drama, Mystery, Thriller",UA,2H10M,Roman Polanski,"Jack Nicholson, Faye Dunaway, John Huston",6000000,0
"Lock, Stock and Two Smoking Barrels",1998.0,8.1,640513,"Comedy, Crime",A,1H47M,Guy Ritchie,"Jason Flemyng, Dexter Fletcher, Nick Moran",0,3753929
V for Vendetta,2017.0,8.1,1226179,"Action, Drama, Sci-Fi",UA,2H12M,James McTeigue,"Hugo Weaving, Natalie Portman, Rupert Graves",54000000,134686457
Rashômon,1950.0,8.1,192136,"Crime, Drama, Mystery",U,1H28M,Akira Kurosawa,"Toshirô Mifune, Machiko Kyô, Masayuki Mori",250000,141708
Inside Out,2015.0,8.1,884246,"Animation, Adventure, Comedy",U,1H35M,Pete Docter,"Amy Poehler, Bill Hader, Lewis Black",175000000,859076254
"Three Billboards Outside Ebbing, Missouri",2018.0,8.1,591181,"Comedy, Crime, Drama",A,1H55M,Martin McDonagh,"Frances McDormand, Woody Harrelson, Sam Rockwell",15000000,162729321
Catch Me If You Can,2020.0,8.1,1188510,"Biography, Crime, Drama",A,2H21M,Steven Spielberg,"Leonardo DiCaprio, Tom Hanks, Christopher Walken",52000000,352114312
Trainspotting,1996.0,8.1,756717,"Crime, Drama",A,1H33M,Danny Boyle,"Ewan McGregor, Ewen Bremner, Jonny Lee Miller",0,16992984
The Bridge on the River Kwai,1957.0,8.1,244686,"Adventure, Drama, War",U,2H41M,David Lean,"William Holden, Alec Guinness, Jack Hawkins",3000000,0
Raging Bull,1980.0,8.1,400646,"Biography, Drama, Sport",A,2H9M,Martin Scorsese,"Robert De Niro, Cathy Moriarty, Joe Pesci",18000000,23406558
Harry Potter and the Deathly Hallows: Part 2,2011.0,8.1,1013884,"Adventure, Family, Fantasy",UA,2H10M,David Yates,"Daniel Radcliffe, Emma Watson, Rupert Grint",125000000,1342505340
Fargo,1996.0,8.1,765245,"Crime, Drama, Thriller",A,1H38M,Joel Coen,"William H. Macy, Frances McDormand, Steve Buscemi",7000000,60611975
The Wild Robot,2024.0,8.2,196516,"Animation, Adventure, Family",U,1H42M,Chris Sanders,"Lupita Nyong'o, Pedro Pascal, Kit Connor",78000000,334537187
Warrior,2015.0,8.1,519871,"Action, Drama, Sport",UA,2H20M,Gavin O'Connor,"Tom Hardy, Nick Nolte, Joel Edgerton",25000000,23308615
